ReviewID,Review,Hotel,City,UserName,Naive_Bayes T=1/D=0,SVM T=1/D=0,SGD_CLF T=1/D=0,Logistic_Regression T=1/D=0,Decision_Tree T=1/D=0,Final Output T=1/D=0
338,not worth going,ITC,Kolkata,Payal,0,1,1,1,1,1
339,"This place is not worth your time, let alone Vegas.",ITC,Kolkata,Arjun,1,1,1,1,1,1
340,Hotel is having good service,ITC,Kolkata,Abhi,1,1,1,1,1,1
341,Bad service. Small rooms. Careless reception. No room service.,ITC,Kolkata,Payal,1,1,1,1,1,1
342,Generous portions and great taste.,ITC,Kolkata,Pranali,0,1,1,1,1,1
343,Bad food quality,ITC,Kolkata,Payal,0,0,0,0,1,0
344,Not worth going very bad hotel,ITC,Kolkata,Anita,0,1,1,1,1,1
345,"This place is pretty good, nice little vibe in the restaurant",ITC,Kolkata,Payal,1,1,1,1,1,1
346,wonderful hotel I have ever seen,Oberoi,Kolkata,Anita,0,0,0,0,1,0
347,the hotel is having very good staff and services,Oberoi,Kolkata,Pranali,1,1,1,1,1,1
348,not worth going. Bad service,Oberoi,Kolkata,Arjun,0,1,1,1,1,1
349,"This place is not worth your time, let alone Vegas.",Oberoi,Kolkata,Payal,1,1,1,1,1,1
350,Bad food quality,Oberoi,Kolkata,Payal,0,0,0,0,1,0
351,The puri bhaji and upma was super nice and tasty.,Oberoi,Kolkata,Payal,1,1,1,1,1,1
352,Bad service. Small rooms. Careless reception. No room service.,Orchid,Pune,Arjun,1,1,1,1,1,1
353,not worth going,Orchid,Pune,Meena,0,1,1,1,1,1
354,Bad staff and Services,Orchid,Pune,Payal,1,1,1,1,1,1
355,not worth going,Hilton,Mumbai,Meena,0,1,1,1,1,1
356,The Staff is good and services also,Hilton,Mumbai,Payal,1,1,1,1,1,1
357,Bad service. Small rooms. Careless reception. No room service.,Hilton,Mumbai,Abhi,1,1,1,1,1,1
358,not worth going,Taj,Mumbai,Payal,0,1,1,1,1,1
359,Bad staff and Services,Hilton,Mumbai,Meena,1,1,1,1,1,1
360,good hotel and amenities,Orchid,Pune,Payal,0,1,0,1,1,1
361,amazing experience,Orchid,Pune,Payal,0,0,0,0,1,0
362,good staff and nice service,Orchid,Pune,Rutu,1,1,1,1,1,1
363,good staff and nice service,Orchid,Pune,Meena,1,1,1,1,1,1
364,not worth going,Hilton,Mumbai,Anushka,0,1,1,1,1,1
365,"This place is not worth your time, let alone Vegas.",Hilton,Mumbai,Anushka,1,1,1,1,1,1
366,very bad experience,ITC,Mumbai,Guru,0,1,1,0,1,1
367,very nice experience,ITC,Kolkata,Anjali,0,1,0,0,1,0
368,Bad staff and Services,WelcomHotel,Bangalore,Rutu,1,1,1,1,1,1
369,very good service ,Orchid,Pune,Vamika,1,1,1,1,1,1
370,bad service,ITC,Kolkata,Suyasha,1,1,1,1,1,1
371,very bad hotel,Oberoi,Kolkata,Suyasha,1,1,1,1,1,1
372,this hotel is good,Taj,Kolkata,Suyasha,1,1,1,1,1,1
373,bad service,Marriott,Kolkata,Suyasha,1,1,1,1,1,1
374,good service,ITC,Kolkata,Suyasha,1,1,1,1,1,1
375,bad service,WelcomHotel,Bangalore,Suyasha,1,1,1,1,1,1
376,very bad hotel,Leela,Bangalore,Suyasha,1,1,1,1,1,1
377,good service,Conrad,Bangalore,Suyasha,1,1,1,1,1,1
378,this hotel is good,Windsor,Bangalore,Suyasha,1,1,1,1,1,1
379,good service,Taj,Mumbai,Suyasha,1,1,1,1,1,1
380,bad service,Oberoi,Kolkata,Suyasha,1,1,1,1,1,1
394,nice hotel,Orchid,Pune,Suyasha,1,1,1,1,1,1
395,bad service,Taj,Mumbai,Vamika,1,1,1,1,1,1
